,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,bat_bed,sqft_floors
0,3,1.0,1.0,0,0,3,7,1180,0,98178,221900,0.3333333333333333,1180.0
1,3,2.0,2.0,0,0,3,7,2170,400,98125,538000,0.6666666666666666,1085.0
2,2,1.0,1.0,0,0,3,6,770,0,98028,180000,0.5,770.0
3,4,3.0,1.0,0,0,5,7,1050,910,98136,604000,0.75,1050.0
4,3,2.0,1.0,0,0,3,8,1680,0,98074,510000,0.6666666666666666,1680.0
5,4,4.0,1.0,0,0,3,11,3890,1530,98053,1230000,1.0,3890.0
6,3,2.0,2.0,0,0,3,7,1715,0,98003,257500,0.6666666666666666,857.5
7,3,2.0,1.0,0,0,3,7,1060,0,98198,291850,0.6666666666666666,1060.0
8,3,1.0,1.0,0,0,3,7,1050,730,98146,229500,0.3333333333333333,1050.0
9,3,2.0,2.0,0,0,3,7,1890,0,98038,323000,0.6666666666666666,945.0
10,3,2.0,1.0,0,0,3,8,1860,1700,98007,662500,0.6666666666666666,1860.0
11,2,1.0,1.0,0,0,4,7,860,300,98115,468000,0.5,860.0
12,3,1.0,2.0,0,0,4,7,1430,0,98028,310000,0.3333333333333333,715.0
13,3,2.0,1.0,0,0,4,7,1370,0,98074,400000,0.6666666666666666,1370.0
14,5,2.0,2.0,0,0,3,7,1810,0,98107,530000,0.4,905.0
15,4,3.0,2.0,0,3,3,9,1980,970,98126,650000,0.75,990.0
16,3,2.0,2.0,0,0,3,7,1890,0,98019,395000,0.6666666666666666,945.0
17,4,1.0,2.0,0,0,4,7,1600,0,98103,485000,0.25,800.0
18,2,1.0,1.0,0,0,4,7,1200,0,98002,189000,0.5,1200.0
19,3,1.0,1.0,0,0,4,7,1250,0,98003,230000,0.3333333333333333,1250.0
20,4,2.0,1.0,0,0,4,7,860,760,98133,385000,0.5,860.0
21,3,3.0,1.0,0,4,3,9,2330,720,98040,2000000,1.0,2330.0
22,5,2.0,2.0,0,0,3,8,2270,0,98092,285000,0.4,1135.0
23,2,2.0,1.0,0,0,3,7,1070,0,98030,252700,1.0,1070.0
24,3,2.0,2.0,0,0,4,8,2450,0,98030,329000,0.6666666666666666,1225.0
25,3,2.0,2.0,0,0,5,6,1710,0,98002,233000,0.6666666666666666,855.0
